"","Region","Subfamily","Total.Species","Species.with.host.record"
"1","NC","Parnassiinae",1,1
"2","NC","Papilioninae",23,23
"3","NC","Eudaminae",41,36
"4","NC","Pyrginae",47,41
"5","NC","Pyrrhopyginae",2,2
"6","NC","Heteropterinae",2,1
"7","NC","Hesperiinae",125,93
"8","NC","Megathyminae",18,18
"9","NC","Dismorphiinae",1,NA
"10","NC","Coliadinae",32,30
"11","NC","Pierinae",19,17
"12","NC","Libytheinae",1,1
"13","NC","Danainae",2,2
"14","NC","Ithomiinae",1,1
"15","NC","Satyrinae",37,27
"16","NC","Morphinae",1,1
"17","NC","Charaxinae",1,1
"18","NC","Biblidinae",9,8
"19","NC","Apaturinae",6,6
"20","NC","Cyrestinae",3,3
"21","NC","Nymphalinae",62,62
"22","NC","Heliconiinae",25,24
"23","NC","Limenitidinae",7,7
"24","NC","Riodininae",24,14
"25","NC","Miletinae",1,1
"26","NC","Polyommatinae",38,34
"27","NC","Lycaeninae",16,13
"28","NC","Theclinae",78,72
"29","NT","Baroniinae",1,1
"30","NT","Papilioninae",100,74
"31","NT","Hedylidae",34,6
"32","NT","Eudaminae",380,122
"33","NT","Pyrginae",495,113
"34","NT","Pyrrhopyginae",183,41
"35","NT","Heteropterinae",137,1
"36","NT","Hesperiinae",940,161
"37","NT","Megathyminae",21,17
"38","NT","Dismorphiinae",49,10
"39","NT","Coliadinae",46,22
"40","NT","Pierinae",193,48
"41","NT","Libytheinae",2,NA
"42","NT","Danainae",10,7
"43","NT","Ithomiinae",321,80
"44","NT","Satyrinae",860,101
"45","NT","Morphinae",131,58
"46","NT","Charaxinae",107,44
"47","NT","Biblidinae",217,58
"48","NT","Apaturinae",13,6
"49","NT","Cyrestinae",14,2
"50","NT","Nymphalinae",178,59
"51","NT","Heliconiinae",128,75
"52","NT","Limenitidinae",82,36
"53","NT","Euselasiinae",170,16
"54","NT","Riodininae",1118,135
"55","NT","Polyommatinae",98,19
"56","NT","Lycaeninae",1,NA
"57","NT","Theclinae",756,125
"58","AT","Papilioninae",78,39
"59","AT","Coeliadinae",16,10
"60","AT","Pyrginae",18,13
"61","AT","Pyrrhopyginae",81,21
"62","AT","Heteropterinae",17,8
"63","AT","Hesperiinae",211,67
"64","AT","Pseudopontiinae",1,1
"65","AT","Coliadinae",8,6
"66","AT","Pierinae",141,73
"67","AT","Danainae",18,11
"68","AT","Satyrinae",268,57
"69","AT","Charaxinae",149,108
"70","AT","Biblidinae",28,22
"71","AT","Apaturinae",3,NA
"72","AT","Nymphalinae",58,43
"73","AT","Heliconiinae",183,102
"74","AT","Limenitidinae",492,83
"75","AT","Nemeobiinae",13,2
"76","AT","Poritiinae",475,103
"77","AT","Miletinae",54,3
"78","AT","Aphnaeinae",190,76
"79","AT","Polyommatinae",353,147
"80","AT","Lycaeninae",2,2
"81","AT","Theclinae",235,97
"82","OR","Parnassiinae",2,1
"83","OR","Papilioninae",115,76
"84","OR","Coeliadinae",49,19
"85","OR","Euschemoninae",1,1
"86","OR","Eudaminae",1,NA
"87","OR","Pyrginae",1,1
"88","OR","Pyrrhopyginae",118,27
"89","OR","Trapezitinae",69,52
"90","OR","Hesperiinae",317,103
"91","OR","Coliadinae",25,11
"92","OR","Pierinae",277,56
"93","OR","Libytheinae",3,2
"94","OR","Danainae",94,47
"95","OR","Tellervinae",1,1
"96","OR","Calinaginae",2,1
"97","OR","Satyrinae",291,105
"98","OR","Morphinae",81,24
"99","OR","Charaxinae",36,20
"100","OR","Pseudergolinae",6,6
"101","OR","Biblidinae",8,2
"102","OR","Apaturinae",28,15
"103","OR","Cyrestinae",19,7
"104","OR","Nymphalinae",48,27
"105","OR","Heliconiinae",42,22
"106","OR","Limenitidinae",188,66
"107","OR","Nemeobiinae",51,7
"108","OR","Curetinae",16,8
"109","OR","Poritiinae",42,3
"110","OR","Miletinae",72,3
"111","OR","Aphnaeinae",12,2
"112","OR","Polyommatinae",267,105
"113","OR","Lycaeninae",14,10
"114","OR","Theclinae",591,198
"115","PA","Parnassiinae",47,34
"116","PA","Papilioninae",19,13
"117","PA","Coeliadinae",4,3
"118","PA","Eudaminae",5,1
"119","PA","Pyrginae",49,29
"120","PA","Pyrrhopyginae",19,5
"121","PA","Heteropterinae",15,3
"122","PA","Hesperiinae",92,16
"123","PA","Dismorphiinae",7,4
"124","PA","Coliadinae",52,30
"125","PA","Pierinae",80,40
"126","PA","Libytheinae",1,1
"127","PA","Danainae",5,4
"128","PA","Calinaginae",6,NA
"129","PA","Satyrinae",481,127
"130","PA","Morphinae",9,1
"131","PA","Charaxinae",2,NA
"132","PA","Pseudergolinae",1,1
"133","PA","Biblidinae",1,1
"134","PA","Apaturinae",29,16
"135","PA","Cyrestinae",1,NA
"136","PA","Nymphalinae",96,38
"137","PA","Heliconiinae",51,29
"138","PA","Limenitidinae",98,28
"139","PA","Nemeobiinae",19,6
"140","PA","Curetinae",1,NA
"141","PA","Poritiinae",1,NA
"142","PA","Miletinae",5,NA
"143","PA","Aphnaeinae",15,5
"144","PA","Polyommatinae",262,182
"145","PA","Lycaeninae",52,25
"146","PA","Theclinae",206,93
"147","PA",NA,1,NA
"148","widespread","Parnassiinae",10,5
"149","widespread","Papilioninae",69,10
"150","widespread","Pyrginae",8,8
"151","widespread","Pyrrhopyginae",2,2
"152","widespread","Heteropterinae",1,1
"153","widespread","Hesperiinae",13,13
"154","widespread","Coliadinae",13,11
"155","widespread","Pierinae",25,23
"156","widespread","Libytheinae",2,1
"157","widespread","Danainae",4,4
"158","widespread","Satyrinae",21,14
"159","widespread","Charaxinae",6,5
"160","widespread","Biblidinae",2,2
"161","widespread","Cyrestinae",1,1
"162","widespread","Nymphalinae",20,20
"163","widespread","Heliconiinae",16,16
"164","widespread","Limenitidinae",5,4
"165","widespread","Riodininae",1,1
"166","widespread","Nemeobiinae",1,NA
"167","widespread","Aphnaeinae",2,2
"168","widespread","Polyommatinae",19,19
"169","widespread","Lycaeninae",1,1
"170","widespread","Theclinae",6,6
